695583|157.86.8.8/reports/doutorado_bibcb/isabella_d_f_gremiao_ipec_pcdi_dout_2010|MALFORMED_URL (no protocol: 157.86.8.8/reports/doutorado_bibcb/isabella_d_f_gremiao_ipec_pcdi_dout_2010)
691451|157.86.8.8/reports/mestrado_bibcb/fabiana_g_conceicao_ioc_bcm_0060_2011.pdf|MALFORMED_URL (no protocol: 157.86.8.8/reports/mestrado_bibcb/fabiana_g_conceicao_ioc_bcm_0060_2011.pdf)
695588|157.86.8.8/reports/mestrado_bibcb/luciana_r_abranches_icict_ics_mest_2013|MALFORMED_URL (no protocol: 157.86.8.8/reports/mestrado_bibcb/luciana_r_abranches_icict_ics_mest_2013)
695587|157.86.8.8/reports/mestrado_bibcb/marcus_v_p_silva_icict_ics_mest_2013|MALFORMED_URL (no protocol: 157.86.8.8/reports/mestrado_bibcb/marcus_v_p_silva_icict_ics_mest_2013)
695589|157.86.8.8/reports/mestrado_bibcb/valeria_h_p_l_fonte_icict_ics_mest_2013|MALFORMED_URL (no protocol: 157.86.8.8/reports/mestrado_bibcb/valeria_h_p_l_fonte_icict_ics_mest_2013)
715024|A clinical evaluation of composite restorations in primary molars - an interim study|MALFORMED_URL (no protocol: A clinical evaluation of composite restorations in primary molars - an interim study)
636545|Prevalence and Associated Factors of Illegal Substance Use in Cartagena, Colombia|MALFORMED_URL (no protocol: Prevalence and Associated Factors of Illegal Substance Use in Cartagena, Colombia)
641358|Which is the best method for atrioventricular and interventricular intervals optimization after resynchronization therapy?|MALFORMED_URL (no protocol: Which is the best method for atrioventricular and interventricular intervals optimization after resynchronization therapy?)
712008|c|MALFORMED_URL (no protocol: c)
712374|c|MALFORMED_URL (no protocol: c)
712843|c|MALFORMED_URL (no protocol: c)
715832|c|MALFORMED_URL (no protocol: c)
673637|httP://teses.ufrj.br/EEAN_M/LilianFelippeDuarteDeOliveira.pdf|UNKNOWN_HOST_EXCEPTION (teses.ufrj.br)
359819|http://10.188.1.43/lildbi/docsonline/6/3/136-Tese_CCD_Oliveira,_Solange_M._S._2003.PDF|CONNECTION_TIMED_OUT (connect timed out)
287984|http://165.158.1.110/spanish/DPI/whd99/whd99_01.htm|CONNECTION_TIMED_OUT (connect timed out)
287982|http://165.158.1.110/spanish/DPI/whd99/whd99_14.htm|CONNECTION_TIMED_OUT (connect timed out)
287979|http://165.158.1.110/spanish/hdp/hdd014.htm|CONNECTION_TIMED_OUT (connect timed out)
287981|http://165.158.1.110/spanish/hpp/hee-events.htm|CONNECTION_TIMED_OUT (connect timed out)
